frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_8,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_57,ID_58,ID_59,ID_60,ID_63,ID_64,ID_66,ID_67,ID_69,ID_70,ID_72,ID_73,ID_74,ID_76,ID_77,ID_78,ID_79,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_97,ID_99,ID_100,ID_101,ID_102,ID_103,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111,ID_112,ID_114,ID_115,ID_117,ID_118,ID_119,ID_120,ID_121,ID_122,ID_124,ID_125,ID_126,ID_127,ID_130,ID_132,ID_134,ID_135,ID_136,ID_137,ID_142,ID_143,ID_144,ID_145,ID_146,ID_147,ID_148,ID_149,ID_150,ID_151,ID_152,ID_153
362,(219!167),(1187!971),,,,,,,,,,,,,,,,,,,,(998!581),,,,(1123!1343),(1238!1341),,(345!586),,,,,(1553!680),,(1141!200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,(219!167),(1190!969),,,,,,,,,(543!245),,,,,,,,,,,(998!582),,,,(1122!1343),(1238!1341),,(346!586),,,(1311!888),,(1553!680),,(1141!200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,(220!168),(1190!969),,,,,,,,,,,,,,,(1415!581),,,,,(998!582),,,,(1131!1343),(1241!1341),,,,,(1312!888),,(1553!680),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,(219!169),(1185!972),,,,,,,,,,,,,,,(1414!580),,,,,(1001!582),,,,(1130!1343),,,(347!588),,,(1310!886),(1140!200),(1553!682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,(219!168),(1190!969),,,,,,,,,,,,,,,(1419!575),,,,,(1001!577),,,,(1122!1343),,,(347!588),,,,,(1553!683),,,(1460!265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,(219!169),(1189!974),,,,,,,,,,,,,,,,,,,,(1001!582),,,,(1121!1343),(1242!1343),,(346!588),,,(1308!884),(1140!201),(1553!683),,,(1459!265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,(219!168),(1189!970),,,,,,,,,,,,,,,,,,,,(997!582),,,,(1122!1343),(1243!1341),,,,,(1312!883),,(1553!683),,,(1459!265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,(219!166),,,,,,,,,,,,,,,,,,,,,(997!581),,,,(1122!1343),,,(343!592),,,,,(1553!683),,,(1459!265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,(219!167),,,,,,,,,,(544!245),,,,,,,,,,,(1000!577),,,,(1130!1343),,,(344!593),,,,,(1553!680),,,(1414!579),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,(219!165),,,,,,,,,,,,,,,,(1415!580),,,,,(1000!582),,,,(1132!1343),,,,,,,(1140!200),(1553!680),,,(1308!882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,(218!165),,,,,,,,,,,,,,,,,,,,,(997!582),,,,(1122!1343),,,(341!591),,,,,(1553!680),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,(218!164),,,,,,,,,,,,,,,,,,,,,(999!578),,,,(1122!1343),,,,,,(1306!874),,(1553!680),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,(218!165),(1189!968),,,,,,,,,,,,,,,,,,,,(997!581),,,,(1122!1343),,,(345!597),,,(1307!873),,(1553!680),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
