frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14
303,(1297!75),(121!72),(349!666),(1049!811),,,,,(870!46),,(145!937),,,(49!649),
304,(1297!75),(121!73),(349!666),(1047!812),,,,,,,(145!936),,,(49!649),
305,(1297!76),(121!73),(349!666),(1047!812),,,,,(870!47),,(145!936),,,(47!648),
306,(1298!76),(121!73),(348!666),(1047!811),,,,,(872!50),,(145!936),,,(47!656),
307,(1297!76),(121!73),(349!666),(1046!811),,,,,(872!50),,(145!934),,,(49!644),
308,(1297!76),(121!73),(349!666),(1046!811),,,,,(872!50),,(144!934),,,(49!645),
309,(1297!76),(121!73),(348!666),(1044!811),(104!1030),,,,(872!49),,(144!934),,,(48!651),
310,(1297!76),(121!73),(348!666),(1044!811),,,,,(872!50),,(144!933),,,,
311,(1296!76),(120!73),(348!666),(1043!810),,,,,(872!50),,(144!933),,,,
312,(1297!75),(121!73),(348!666),(1042!810),(104!1029),,,,(872!50),,(144!932),,,,
313,(1296!75),(121!73),(348!666),(1041!809),(103!1029),,,,(872!50),,(143!931),,,,
314,(1296!75),(120!73),(348!666),(1040!808),(103!1029),,,,(869!46),,(143!931),,(37!1028),,
315,(1297!76),(120!72),(348!666),(1039!808),(104!1029),,,,(869!47),,(48!648),,(143!931),,
316,(1297!76),(121!73),(348!666),(1038!808),(104!1029),,,,(872!50),,,,(143!931),,
317,(1297!76),(121!73),(348!666),(1037!808),(105!1030),,,,(872!50),,,,(142!930),,
