frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_12,ID_15,ID_16
159,"(785,1014)",,,,"(381,762)","(741,672)","(417,617)","(1246,621)",,,"(1325,1005)",,
160,"(785,1014)",,,"(1349,751)","(381,762)","(739,673)","(416,617)","(1247,621)",,,"(1325,999)",,
161,"(785,1014)",,,"(1348,754)","(381,762)","(739,672)","(416,617)","(1247,620)",,,"(1325,997)",,
162,"(785,1014)",,,"(1348,752)",,"(738,673)","(416,618)","(1247,620)",,,"(1324,1003)",,
163,"(785,1014)",,,"(1351,750)","(381,762)","(736,671)","(417,617)","(1247,619)",,,"(1319,1005)",,
164,"(785,1014)","(556,927)",,"(1351,750)",,"(736,670)","(416,617)","(1249,619)",,,"(1319,1004)",,
165,"(785,1014)",,,"(1352,749)","(382,762)","(736,671)","(419,617)","(1249,619)",,,"(1315,1002)",,
166,"(785,1014)",,,"(1349,748)",,"(732,672)","(419,617)","(1250,619)",,,"(1315,1002)",,
167,"(785,1014)",,,"(1349,746)","(381,762)","(730,672)","(417,617)","(1251,616)",,,"(1315,1002)",,
168,"(785,1015)",,"(140,899)","(1349,745)",,"(734,672)","(418,618)","(1252,619)",,,"(1315,1002)",,
169,"(785,1014)",,"(141,899)","(1350,743)","(381,762)","(728,671)","(418,617)","(1253,619)",,,"(1316,1001)",,
170,"(785,1014)",,"(146,894)","(1349,743)","(381,762)","(730,671)","(418,618)","(1252,620)",,,"(1316,1002)",,
171,"(785,1014)",,"(146,894)","(1349,741)","(381,762)","(730,671)","(418,618)","(1252,619)","(1052,240)",,"(1316,999)",,
172,"(784,1014)",,"(146,893)","(1349,740)","(381,762)","(731,672)","(418,618)","(1253,618)","(1053,240)",,"(1316,999)",,
173,"(785,1014)",,"(148,894)","(1350,738)",,"(729,672)","(418,618)","(1254,619)","(1049,239)",,"(1316,998)",,
174,"(785,1014)",,"(148,899)","(1350,737)","(381,762)","(730,671)","(418,618)","(1255,619)","(1053,240)",,"(1316,998)",,
175,"(785,1014)","(556,927)","(142,899)","(1350,737)",,"(731,670)","(418,618)","(1255,618)","(1053,240)",,"(1315,1000)",,
176,"(785,1014)","(556,928)","(141,900)","(1349,736)",,"(730,670)","(418,618)","(1256,618)",,,"(1318,998)",,
177,"(785,1014)",,"(143,900)","(1350,732)",,"(731,669)","(418,618)","(1257,617)","(1053,240)",,"(1317,999)",,
178,"(785,1014)",,"(143,899)","(1350,732)",,"(731,669)","(418,618)","(1257,617)","(1053,240)",,"(1317,997)",,
179,"(785,1014)","(556,928)","(143,899)","(1350,733)",,"(731,668)","(419,618)","(1257,616)","(1049,238)",,"(1316,998)",,
180,"(780,1013)","(556,927)","(144,899)","(1350,732)","(381,761)","(730,668)","(419,618)","(1257,617)",,,"(1318,997)",,
