frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_12,ID_14,ID_15,ID_16,ID_17,ID_18,ID_21,ID_23,ID_24,ID_25,ID_27,ID_28,ID_30,ID_32,ID_33,ID_34,ID_36
102,,"(1125,882)","(826,878)","(1329,830)",,"(1147,567)","(900,509)","(608,117)",,"(1350,339)",,,,,,,,,,,,,,,,,,
103,,"(1128,881)","(826,877)","(1330,830)","(909,584)","(1146,567)","(897,509)",,,"(1352,341)",,,,"(551,44)",,,,,,,,,,,,,,
104,,"(1130,879)","(826,877)","(1330,830)","(907,583)","(1142,567)","(898,510)","(608,115)",,"(1352,342)",,,,,,,,,,,,,,,,,,
105,,"(1132,877)","(826,876)","(1330,828)","(906,581)","(1141,564)","(896,510)",,,"(1353,345)","(912,1024)",,,,,,,,,,,,,,,,,
106,"(863,1035)","(1136,876)","(826,875)","(1330,827)","(909,580)","(1139,567)","(894,510)","(609,113)",,"(1354,346)",,,,,,,,,,,"(1221,1030)",,"(1156,1030)",,,,,
107,"(851,1034)","(1136,872)","(827,874)","(1330,827)","(907,578)","(1137,566)","(892,512)","(609,113)",,"(1355,347)","(913,1017)",,,,,,,,,,"(1222,1030)",,"(1165,1027)",,,,,
108,"(839,1034)","(1137,871)","(830,867)","(1329,826)","(909,579)","(1135,564)","(889,512)",,,"(1353,347)","(911,1017)",,,,,,"(1316,1026)",,,"(354,50)",,,,,,,,
109,,"(1140,875)","(830,867)","(1329,826)","(909,580)","(1132,567)","(887,514)",,,,"(910,1016)",,,,,,"(1318,1025)",,,"(354,50)",,,,,,,,
110,,"(1142,872)","(826,873)","(1329,825)","(910,579)","(1129,566)","(884,515)",,,"(1352,347)","(911,1016)",,,,,,"(1317,1025)",,,"(357,50)",,,,,,,,
111,"(846,1033)","(1145,872)","(826,873)","(1329,826)","(909,580)","(1126,566)","(881,516)",,,"(1352,344)","(910,1017)",,,,,,"(1311,1023)",,,"(322,51)",,,,,,,,
112,"(846,1034)","(1143,876)","(825,874)","(1329,826)","(909,580)","(1124,568)","(878,520)",,,"(1351,347)","(911,1015)",,,,,,"(1315,1024)",,,,,,"(1132,1030)",,,"(1020,1033)",,
113,"(855,1034)","(1144,872)","(824,875)","(1329,826)","(908,581)","(1121,569)","(875,522)",,,"(1350,348)","(914,1017)",,,,,,,,,,,,,,,,,
114,"(907,1030)","(1147,875)","(824,875)","(1328,827)","(905,581)","(1117,570)","(873,523)","(607,115)",,"(1350,349)","(909,1016)",,,,,,,,,,"(1199,1025)",,,,,,,
115,,"(1150,876)","(824,875)","(1328,828)",,"(1114,571)","(872,525)","(608,115)",,"(1351,350)",,,,,,,,,,,,,,,,,,
116,,"(1150,877)","(823,876)","(1328,829)",,"(1111,574)","(870,527)","(608,117)",,"(1350,351)",,,,,,,,,,,,,,,,,,
117,,"(1153,873)","(823,876)","(1328,829)","(908,582)","(1108,571)","(867,529)","(608,117)",,"(1350,351)","(916,1018)",,,,,,,,,,,,,,,,,
118,,"(1155,874)","(824,876)","(1328,829)","(908,582)","(1106,574)","(866,531)","(608,117)",,"(1350,351)",,,,,,,,,,,,,,,,,,
119,,"(1156,875)",,"(1329,829)","(908,583)","(1104,577)","(865,532)","(610,117)",,"(1351,356)",,,,,,,,,,,,,,,,,,
120,,"(1160,871)",,"(1329,828)","(910,582)","(1101,578)","(863,533)","(610,117)",,"(1351,356)","(916,1018)",,,,,,,,,,,,,,,,,
121,,"(1160,873)",,"(1330,828)",,"(1100,578)","(862,533)","(610,116)",,"(1352,357)","(909,1031)",,,,,,,,,,,,,,,,,
122,,"(1162,873)",,"(1330,827)","(910,581)","(1098,578)","(860,534)","(610,116)",,"(1353,357)","(911,1016)",,,,,,,,,,,,,,,,,
123,,"(1164,871)","(825,875)","(1330,827)","(910,580)","(1095,579)","(857,535)","(610,115)",,"(1353,358)","(912,1016)",,,,,,,,,,,,,,,,,
124,"(846,1031)","(1164,870)","(824,873)","(1330,825)","(910,579)","(1093,579)","(855,536)","(609,113)",,"(1353,358)","(911,1016)",,,,,,,,,,"(1228,1027)",,"(1161,1028)",,,,,
125,,"(1167,869)","(825,872)","(1330,824)","(907,576)","(1091,580)","(853,536)","(609,113)",,"(1353,359)","(910,1015)",,,,,,,,,"(329,49)",,,,,,,,
126,,"(1167,869)","(825,872)","(1330,824)","(907,576)","(1090,581)","(850,537)","(610,112)",,"(1353,360)","(910,1013)",,,,,,"(1321,1023)",,,"(326,49)","(1224,1026)",,,,,,,
127,,"(1168,870)","(824,871)","(1330,824)","(907,574)","(1087,581)","(848,541)","(609,112)",,"(1353,360)","(914,1014)",,,,,,"(1320,1023)","(392,47)",,,,,,,,,,
128,,"(1171,870)","(825,872)","(1330,823)","(908,574)","(1085,582)","(845,541)","(609,112)",,"(1353,362)","(913,1013)",,,,,,"(1311,1023)",,,,,,,,,,,
129,,"(1173,871)","(824,872)","(1330,824)","(907,575)","(1082,583)","(842,543)","(609,113)",,"(1353,362)","(913,1015)",,,,,,"(1304,1023)",,,,"(1226,1026)",,"(1166,1024)",,,"(1047,1029)",,
130,"(839,1031)","(1174,871)","(824,872)","(1330,824)",,"(1080,584)","(839,546)","(608,113)",,"(1352,365)",,,,,,,,,,,,,"(1152,1025)","(658,1036)",,"(1090,1029)",,
131,"(837,1031)","(1175,870)","(823,873)","(1329,824)",,"(1078,584)","(837,547)",,,"(1352,366)","(911,1012)",,,,,,,,,,,,,"(660,1036)",,,,
132,,"(1176,869)","(823,874)","(1329,825)","(909,579)","(1077,585)","(834,549)","(608,113)",,,"(907,1029)",,,,,,,,,,,,,,,,,
133,,"(1179,873)","(821,875)","(1328,825)","(908,580)","(1074,586)","(831,551)","(607,114)",,"(1351,368)","(915,1015)",,,,,,,,,,,,,,,,,
134,,"(1180,873)","(821,875)","(1329,825)","(908,580)","(1072,586)","(829,554)","(607,115)",,"(1350,371)","(915,1015)",,,,,,,,,,,,,,,,,
135,,"(1184,874)","(821,876)","(1329,827)","(908,581)","(1071,588)","(826,557)","(607,115)",,"(1350,373)","(916,1015)",,,,,,,,,,,,,,,,,
136,,"(1185,875)","(821,877)","(1329,827)","(908,581)","(1070,588)","(825,559)","(607,114)",,"(1350,374)","(915,1015)",,,,,,,,,,,,,,,,,
137,"(908,1030)","(1187,874)","(822,877)","(1329,826)","(909,581)","(1069,588)","(824,560)","(608,115)",,,"(916,1015)",,,,,,,,,,,,,,,,,
138,"(908,1030)","(1188,875)","(822,877)","(1330,827)","(909,581)","(1068,588)","(822,562)","(608,115)",,"(1351,377)","(916,1015)",,,,,,,,,,,,,,,,,
139,"(909,1030)","(1189,874)","(821,877)","(1329,825)","(909,580)","(1066,588)","(819,564)","(608,114)",,"(1350,375)","(917,1014)",,,,,,,,,,,,,,,,,
140,,"(1192,874)","(821,876)","(1330,825)","(909,579)","(1066,588)","(817,565)","(608,113)",,"(1351,375)","(912,1011)",,,,,,,,,,,,,,,,,
141,,"(1193,874)","(822,876)","(1330,824)",,"(1066,588)","(817,566)","(608,112)",,"(1352,379)","(915,1012)",,,,,,,,,,,,,,,,,
142,,"(1196,873)","(822,875)","(1330,823)",,"(1064,587)","(815,569)","(609,111)",,"(1349,380)","(915,1010)",,,,,,,,,,,,,,,,,
143,,"(1197,873)","(821,874)","(1331,822)","(910,577)","(1064,587)","(813,569)","(608,110)",,"(1353,381)","(915,1010)",,,,,,,,,,,,,,,,"(116,1034)",
144,,"(1199,871)","(821,874)",,"(907,574)","(1063,587)","(811,571)","(609,110)",,"(1350,380)","(912,1011)",,,,,,"(1290,1022)",,,,,,,,,"(1028,1030)","(123,1034)",
145,,"(1200,872)","(821,874)","(1331,822)","(910,573)","(1060,586)","(809,572)","(609,109)",,"(1352,380)","(913,1013)",,,,,,,,,,,,,,"(247,1040)","(1028,1030)","(122,1034)",
146,,"(1202,872)","(821,874)","(1331,822)","(907,573)","(1061,587)","(808,574)","(609,109)",,"(1352,381)","(913,1013)",,,,,,,,,,,,,,"(208,1039)",,"(118,1034)",
147,,"(1202,872)","(821,873)","(1331,821)","(906,573)","(1059,587)","(806,575)","(609,109)",,"(1351,382)","(912,1010)",,,,,,,,,,,,,,,,"(118,1034)",
148,,"(1203,873)","(821,874)","(1331,822)","(909,577)","(1058,589)","(804,578)",,,"(1352,382)","(915,1010)",,,,,,"(1299,1021)",,,,"(1197,1025)",,"(1116,1026)",,"(229,1040)","(1027,1028)","(117,1033)",
149,,"(1205,875)","(821,876)","(1330,822)","(909,577)","(1056,589)","(803,581)","(608,111)",,"(1349,384)","(914,1009)",,,,,,,,,,,,,,,,,
150,,"(1205,876)","(821,876)","(1330,822)","(908,578)","(1054,590)","(800,583)","(607,112)",,"(1350,385)","(913,1010)",,,,,,,,,,,,,,,,,
151,,"(1207,874)","(820,877)","(1329,823)","(909,578)","(1053,591)","(799,586)","(608,113)",,"(1350,385)","(917,1011)",,,,,,,,,,,,,,,,,
152,,"(1206,879)","(820,877)","(1329,823)","(909,579)","(1051,592)","(798,587)","(608,113)",,"(1350,386)",,,,,,,,,,,,,,,,,,
153,,"(1206,880)","(821,878)","(1328,824)","(909,579)","(1050,594)","(796,590)","(608,114)",,"(1350,388)",,,,,,,,,,,,,,,,,,
154,,"(1208,881)","(820,878)","(1329,823)","(905,578)","(1049,596)","(794,593)","(607,114)",,"(1350,391)","(916,1012)",,,,,,,,,,,,,,,,,
155,,"(1210,883)","(821,878)","(1329,824)","(909,579)","(1048,597)","(792,595)","(607,113)",,"(1351,392)","(917,1013)",,,,,,,,,,,,,,,,,
156,"(908,1028)","(1211,884)","(820,878)","(1330,823)",,"(1046,597)","(792,597)","(608,113)",,"(1352,391)","(917,1012)",,,,,,,,,,,,,,,,,
157,,"(1212,884)","(821,877)","(1329,824)","(909,578)","(1044,598)","(791,598)","(608,113)",,"(1352,398)","(916,1012)",,,,,,,,,,,,,,,,,
158,,"(1213,884)","(820,876)","(1330,823)",,"(1042,598)","(791,599)","(608,112)",,"(1351,395)",,,,,,,,,,,,,,,,,,
159,,"(1214,884)","(821,876)","(1330,822)","(910,577)","(1042,599)","(788,602)","(609,110)",,"(1350,395)",,,,,,,,,,,,,,,,,,
160,,"(1216,884)","(821,876)","(1331,821)","(910,576)","(1040,600)","(789,603)","(609,110)",,"(1353,394)",,,,,,,,,,,,,,,,,,
161,"(826,1028)","(1217,884)","(820,875)","(1331,821)",,"(1039,601)","(788,605)",,,"(1353,394)",,,,,,,,,,,"(1210,1023)",,,,,,,
162,,"(1218,884)","(821,875)","(1331,821)","(907,572)","(1038,603)","(788,606)",,,"(1353,394)",,,,,,,"(1298,1022)",,,,"(1195,1022)",,"(1129,1026)",,"(203,1037)",,,
