frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_19,ID_20
151,"(539,537)","(123,522)","(401,445)","(928,235)","(208,57)","(1061,139)","(913,77)",,"(59,148)","(564,1026)",,"(58,108)","(45,1019)",,,,"(51,74)",,,
152,"(539,537)","(123,522)","(403,446)","(924,233)","(209,56)",,"(916,74)",,"(62,148)","(564,1026)",,"(58,108)",,,,,"(51,73)",,,
153,,"(122,524)","(403,448)","(925,233)","(208,56)",,"(914,75)",,"(58,108)","(566,1027)",,"(50,73)","(45,1016)",,,,,,,
154,,"(123,523)","(403,448)","(923,234)","(208,56)",,"(915,74)",,,"(567,1026)",,,,,,,,,,
155,,"(122,523)","(404,449)","(922,234)","(209,56)",,"(915,79)",,"(59,144)","(569,1025)",,,,,,,,,,
156,,"(123,524)","(406,450)","(922,235)","(210,56)",,"(917,81)",,"(55,136)","(575,1025)",,,,,,,,,,
157,,"(123,523)","(406,450)","(922,232)","(212,54)",,"(920,79)",,"(55,136)","(572,1027)",,,,,,,,,,
158,"(539,535)","(122,523)","(407,450)","(921,232)","(209,56)",,"(923,80)",,"(58,104)","(579,1025)",,,,,,,"(51,72)",,,
159,,"(122,522)","(408,451)","(921,233)",,"(1061,137)","(924,77)",,"(60,143)","(581,1024)",,,"(45,1018)",,,,,,,
160,,"(119,522)","(409,452)","(921,233)",,"(1061,138)","(926,76)",,"(60,143)","(583,1024)",,"(59,104)","(45,1018)",,,,"(52,71)",,,
161,,"(118,522)","(411,452)","(922,233)","(211,56)","(1061,137)","(927,79)",,"(60,143)","(585,1024)",,"(59,104)","(45,1018)",,,,"(51,72)",,,
162,,"(117,524)","(412,453)","(922,233)","(213,56)","(1063,137)","(932,78)",,"(61,144)","(586,1024)",,"(60,104)","(45,1017)",,,,"(52,69)",,,
163,"(538,536)","(117,523)","(413,454)","(922,233)",,"(1062,138)","(933,78)",,"(62,144)","(588,1024)",,,"(46,1017)","(1370,1002)",,,,,,
164,,"(116,524)","(414,455)","(922,233)","(218,56)","(1062,138)","(935,76)",,"(62,144)","(588,1025)",,,"(46,1018)","(1370,1003)",,,,,,
165,,"(114,524)","(415,456)","(922,234)",,"(1062,138)","(936,77)",,"(62,144)","(591,1025)",,,,,,,,,,
166,,"(113,524)","(417,458)","(922,234)","(223,56)","(1062,138)","(939,79)",,"(62,145)","(593,1025)",,,"(45,1020)",,,,,,,
167,,"(113,523)","(418,460)","(922,234)","(228,55)","(1063,138)","(941,75)",,"(61,144)","(596,1025)",,,,,,,,,,
168,"(539,537)","(111,523)","(418,464)","(922,233)","(229,55)","(1063,139)","(944,73)",,"(61,145)","(594,1026)",,,"(45,1019)",,,,,,,
169,,"(111,524)","(419,463)","(922,233)","(231,55)","(1063,138)","(945,70)",,"(61,145)","(597,1027)",,,"(45,1019)",,,,,,,
170,,"(110,523)","(419,464)","(922,233)","(233,55)","(1061,140)","(944,72)",,"(61,145)","(597,1027)",,,"(46,1016)",,,,,,,
171,,"(109,521)","(419,465)","(921,233)","(236,55)","(1061,139)","(947,69)",,"(60,145)","(597,1027)",,,,,,,,,,
